startTime, stopTime, KP name, comment
2023-09-03 08:00:00,2023-09-03 11:00:00,LT02 Exoplanets and stars,Cleanup planning J-6
2023-09-03 11:00:00,2023-09-03 12:00:00,LT03 Pulsars,Cleanup planning J-6
2023-09-03 16:00:00,2023-09-03 20:00:00,LT02 Exoplanets and stars,Cleanup planning J-6
2023-09-03 20:00:00,2023-09-03 23:00:00,LT02 Exoplanets and stars,KP booking
2023-09-03 23:00:00,2023-09-03 23:16:00,RP1B NenuFAR Low-Frequency Sky Survey,Cleanup planning J-6
2023-09-03 23:16:00,2023-09-03 23:44:00,RP1B NenuFAR Low-Frequency Sky Survey,Cleanup planning J-6
2023-09-03 23:44:00,2023-09-04 00:12:00,RP1B NenuFAR Low-Frequency Sky Survey,Cleanup planning J-6
2023-09-04 00:12:00,2023-09-04 00:40:00,RP1B NenuFAR Low-Frequency Sky Survey,Cleanup planning J-6
2023-09-04 00:40:00,2023-09-04 01:08:00,RP1B NenuFAR Low-Frequency Sky Survey,Cleanup planning J-6
2023-09-04 01:08:00,2023-09-04 01:36:00,RP1B NenuFAR Low-Frequency Sky Survey,Cleanup planning J-6
2023-09-04 01:36:00,2023-09-04 02:04:00,RP1B NenuFAR Low-Frequency Sky Survey,Cleanup planning J-6
2023-09-04 02:04:00,2023-09-04 02:32:00,RP1B NenuFAR Low-Frequency Sky Survey,Cleanup planning J-6
2023-09-04 02:32:00,2023-09-04 03:00:00,RP1B NenuFAR Low-Frequency Sky Survey,Cleanup planning J-6
2023-09-04 03:00:00,2023-09-04 07:50:00,ES00 Debug,TAU_A_TRACKING_XST
2023-09-04 08:00:00,2023-09-04 11:00:00,LT02 Exoplanets and stars,KP booking
2023-09-04 11:00:00,2023-09-04 12:00:00,LT03 Pulsars,Cleanup planning J-6
2023-09-04 12:00:00,2023-09-04 13:00:00,Maintenance,Test relay
2023-09-04 16:00:00,2023-09-04 22:00:00,LT02 Exoplanets and stars,KP booking
2023-09-04 22:00:00,2023-09-05 09:00:00,LT07 Joint Jupiter studies,Cleanup planning J-6
2023-09-05 09:00:00,2023-09-05 11:00:00,LT02 Exoplanets and stars,KP booking
2023-09-05 11:00:00,2023-09-05 12:00:00,LT03 Pulsars,Cleanup planning J-6
2023-09-05 16:00:00,2023-09-05 23:00:00,LT02 Exoplanets and stars,KP booking
